assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,0,89,0,171.6,171129,41,19,0,31.4,107.4,606,0,0,0,0,0,2018/19,45,36.0,8,1
5,10,463,6,558.9,171129,42,38,0,125.5,596.6,2333,0,0,0,0,0,2019/20,40,96.0,84,6
