id,xP
329,0.0
330,0.0
331,0.0
448,0.5
449,0.9
456,-0.1
457,0.1
471,1.5
515,0.0
516,0.0
528,-0.3
580,0.0
581,0.0
643,-0.5
648,0.3
649,0.0
666,-0.5
683,-0.5
715,-0.5
716,0.1
332,-1.0
333,0.2
334,-0.5
335,3.2
336,2.8
338,-1.0
339,0.2
341,5.0
342,0.0
343,-0.5
344,0.0
345,0.2
346,1.8
347,-1.0
348,0.0
349,-0.2
350,-1.0
351,-0.5
460,-0.2
491,0.0
517,0.0
518,0.5
519,0.0
525,-0.5
546,-1.0
567,-0.8
637,-1.0
641,-1.0
665,0.0
667,-1.0
680,-1.0
731,-1.0
352,0.0
353,5.6
355,0.0
356,0.0
357,7.0
358,0.0
359,10.0
360,0.0
361,5.6
362,2.0
364,4.8
365,3.6
366,1.4
367,5.0
368,6.4
369,1.6
370,0.0
371,0.0
372,0.0
373,0.0
374,1.4
375,0.0
486,1.0
487,0.0
494,0.0
520,1.0
588,5.8
597,0.0
598,1.0
659,1.0
668,1.0
701,4.2
702,4.0
714,1.0
717,1.0
724,1.0
729,1.0
354,1.7
376,2.9
377,0.0
378,0.3
379,0.3
380,0.0
381,0.0
382,0.0
383,0.0
384,0.9
385,0.0
387,-0.3
388,0.0
389,-0.5
390,1.3
391,0.7
392,0.0
393,0.0
394,0.0
395,0.0
396,-0.5
397,0.0
398,0.0
399,0.0
400,1.1
401,0.0
402,0.0
403,0.0
404,1.3
405,-0.5
450,0.0
454,0.0
467,-0.1
468,0.0
469,0.0
472,0.0
495,0.0
557,0.0
574,-0.5
618,-0.4
633,-0.5
642,-0.5
669,0.0
676,0.7
677,1.1
679,1.1
698,0.5
725,0.0
732,-0.5
733,-0.5
734,-0.5
128,1.0
406,0.8
407,-1.0
408,5.8
409,0.0
410,0.0
411,1.2
412,0.5
413,1.3
414,0.9
415,-0.8
416,2.5
417,-0.5
418,1.5
419,2.1
420,7.5
421,1.0
422,0.2
423,2.0
424,-1.0
425,-0.2
489,-1.0
521,0.0
522,0.0
554,-1.0
582,-0.8
589,-1.0
617,-1.0
634,-1.0
644,-1.0
652,-1.0
682,-1.0
710,-1.0
426,2.5
427,0.0
428,1.7
429,2.7
430,2.3
431,0.3
432,0.5
433,1.5
434,3.5
435,0.0
436,1.9
437,0.0
438,0.2
439,0.0
440,0.0
441,2.3
442,0.0
443,0.5
444,0.0
445,1.3
446,0.5
452,0.9
461,2.1
470,3.1
475,2.1
523,0.0
547,0.7
548,0.5
549,0.0
583,1.9
611,0.0
621,0.5
635,0.5
661,0.0
685,0.9
686,0.0
687,0.0
689,2.9
