id,xP
1,0.5
2,0.0
3,0.0
4,6.2
5,0.5
6,3.2
7,0.0
8,0.5
9,0.0
10,0.5
11,0.5
12,0.5
13,1.2
14,0.5
15,4.5
16,2.8
17,2.5
18,0.0
20,0.5
21,6.5
22,1.7
23,3.5
24,0.0
25,0.0
26,2.2
27,0.0
67,3.8
466,1.2
478,2.5
530,0.5
531,0.0
532,0.5
558,2.5
559,4.2
572,0.5
590,3.5
28,-0.5
29,0.0
30,4.5
31,0.0
32,-0.2
34,-0.5
35,4.8
36,-0.2
37,0.0
38,-0.2
39,0.5
40,3.2
41,-0.2
42,-0.2
43,1.5
44,2.2
45,0.5
46,0.0
47,0.0
48,0.0
49,-0.1
50,1.5
51,2.2
52,-0.5
283,-0.2
337,3.2
492,0.8
496,-0.5
497,-0.5
526,-0.5
568,-0.2
596,-0.5
610,-0.5
76,2.7
77,2.0
78,2.0
79,0.0
80,2.3
81,2.3
82,0.0
83,1.7
84,0.0
85,0.7
86,3.7
87,0.0
88,0.7
89,0.0
90,0.0
91,1.7
92,0.0
93,0.0
94,0.0
95,0.0
96,3.7
97,0.3
479,2.0
483,0.3
498,0.0
499,0.0
524,0.0
556,0.0
569,0.0
594,3.0
614,0.0
53,1.0
54,-1.0
55,1.7
56,2.7
57,0.0
58,2.7
59,4.7
60,0.3
61,-0.2
62,0.7
63,0.3
64,1.7
65,0.0
66,0.0
68,0.0
69,4.3
70,-1.0
71,-0.3
72,-1.0
73,0.0
74,1.7
75,1.3
447,0.0
462,0.3
476,-1.0
500,0.0
535,0.0
536,0.0
537,-1.0
538,0.0
560,-1.0
584,3.7
595,-1.0
612,-1.0
98,1.8
99,-0.5
100,-0.2
101,0.5
102,0.0
103,-0.5
104,-0.2
105,0.2
106,-0.4
107,2.5
108,0.5
109,1.2
110,2.8
111,0.1
112,2.5
113,2.1
114,-0.5
115,1.5
116,0.0
117,0.0
118,1.8
451,2.2
480,-0.5
533,-0.5
534,-0.5
565,-0.5
575,-0.2
578,4.8
585,-0.5
119,6.8
120,0.0
121,3.8
122,1.5
123,3.8
124,2.2
125,6.5
126,0.0
127,5.2
129,1.5
130,2.5
131,1.8
132,5.8
133,3.5
134,0.0
135,13.2
136,0.0
137,0.0
138,10.2
139,0.0
140,5.8
141,2.8
142,6.2
143,7.2
501,4.2
527,9.2
529,0.0
539,0.0
592,1.5
606,1.5
144,2.5
146,2.5
147,0.8
148,2.8
149,5.5
150,0.8
151,0.5
152,2.5
153,2.5
154,1.5
155,2.8
156,0.5
157,0.5
158,0.5
159,0.8
160,0.0
161,0.0
162,3.5
386,0.5
464,4.8
474,1.5
477,1.8
488,1.2
493,0.5
540,0.5
541,0.5
542,0.5
543,0.5
561,0.5
586,4.2
163,0.0
164,0.0
165,1.7
166,0.0
167,0.0
168,2.0
169,3.7
170,3.3
171,2.7
172,0.0
173,0.0
174,2.0
175,0.0
176,3.7
177,0.0
178,1.0
179,2.3
180,2.3
181,0.0
481,1.0
482,5.7
484,4.0
502,1.0
503,2.3
504,1.0
544,1.0
545,0.0
564,0.0
570,0.0
571,1.0
591,2.7
602,1.0
607,1.3
613,1.0
616,1.0
200,2.0
201,0.8
202,0.0
203,0.0
204,0.0
205,5.7
206,0.0
207,1.0
208,1.0
209,1.0
210,5.2
211,2.0
212,3.7
213,5.3
214,0.3
215,1.3
216,0.0
217,3.0
218,0.0
219,0.0
220,0.0
340,1.0
455,3.3
458,1.7
473,0.0
505,0.0
573,0.0
587,0.7
182,0.0
183,0.0
184,3.7
185,0.0
186,2.3
187,4.0
188,2.7
189,0.0
190,6.0
191,0.2
192,0.0
193,1.0
194,0.0
195,0.0
196,1.3
197,2.0
198,1.3
199,4.0
267,1.0
287,2.3
463,0.0
490,0.0
550,0.0
551,0.7
552,0.3
562,0.0
563,0.0
576,0.0
577,1.7
600,0.0
601,0.0
608,0.0
221,3.5
222,4.2
223,0.5
224,2.8
225,0.0
226,0.0
227,1.2
228,8.2
229,4.8
230,5.8
231,3.2
232,0.8
233,17.2
234,4.8
235,0.5
236,0.5
237,5.8
238,0.8
239,5.8
240,4.8
241,0.5
242,2.5
243,2.5
244,2.8
245,0.8
246,1.8
247,0.0
248,0.0
506,0.0
553,0.0
33,3.7
249,1.7
250,4.3
251,7.7
252,3.0
253,0.0
254,4.0
255,2.3
256,3.3
257,2.0
258,3.0
259,3.7
260,3.3
261,6.7
262,2.0
263,4.3
264,1.0
265,11.3
266,3.3
268,0.0
453,1.7
507,1.3
508,1.0
566,0.0
593,1.0
603,1.0
604,1.0
605,1.0
615,1.0
269,0.2
270,1.2
271,0.2
272,-0.5
273,-0.8
274,0.4
275,-0.2
276,-0.2
277,2.4
278,1.3
279,-0.5
280,-0.5
281,1.7
282,-0.5
284,0.8
285,1.2
286,-0.5
288,-0.5
289,2.5
459,-0.5
485,0.5
509,-0.5
510,-0.2
511,0.0
512,-0.5
555,0.0
579,0.8
19,0.8
291,0.0
292,0.5
293,0.2
294,0.8
295,0.0
296,3.8
297,1.5
298,0.5
299,0.2
300,-0.2
301,0.0
302,2.5
303,1.5
304,1.2
305,-0.5
306,1.2
307,1.5
308,0.5
309,0.8
310,0.5
311,-0.5
312,0.0
465,-0.2
513,-0.5
514,-0.5
599,-0.5
609,-0.5
145,0.0
290,-1.8
313,-1.5
314,4.8
315,0.2
316,0.0
317,-0.8
318,1.2
319,2.5
320,0.0
321,-1.5
322,0.0
323,-1.5
324,0.0
325,0.0
326,1.2
327,-1.5
328,-1.5
329,-0.8
330,0.0
331,-1.5
448,-1.5
449,-0.5
456,1.2
457,2.8
471,0.5
515,-1.5
516,0.5
528,-1.5
580,1.8
581,0.5
332,1.8
333,0.5
334,3.8
335,2.5
336,5.8
338,0.0
339,1.2
341,0.0
342,0.8
343,2.8
344,0.0
345,0.8
346,1.5
347,0.5
348,0.0
349,3.5
350,0.8
351,2.8
460,3.2
491,6.8
517,2.2
518,5.8
519,0.5
525,1.5
546,0.5
567,0.5
352,0.0
353,1.5
355,0.0
356,0.0
357,4.8
358,0.0
359,6.5
360,0.0
361,0.8
362,1.5
363,-0.5
364,-0.5
365,5.2
366,-0.5
367,-0.5
368,0.0
369,-0.2
370,2.2
371,-0.5
372,0.2
373,1.2
374,-0.5
375,3.2
486,-0.5
487,0.2
494,0.5
520,-0.5
588,0.8
597,-0.5
598,-0.5
354,1.0
376,0.3
377,-0.3
378,-1.0
379,0.3
380,0.0
381,-0.7
382,-0.8
383,0.0
384,0.0
385,0.0
387,-0.3
388,0.0
389,-1.0
390,-0.7
391,-0.7
392,0.0
393,0.0
394,0.0
395,-1.0
396,0.0
397,0.0
398,0.0
399,0.7
400,-0.3
401,0.0
402,0.0
403,-1.0
404,1.0
405,-1.0
450,4.0
454,0.0
467,0.0
468,4.7
469,0.0
472,1.3
495,2.7
557,0.0
574,-1.0
618,0.8
128,5.2
406,0.5
407,0.5
408,6.2
409,7.5
410,0.0
411,7.2
412,0.8
413,3.8
414,1.2
415,0.5
416,1.2
417,0.5
418,0.6
419,3.2
420,5.8
421,2.8
422,4.8
423,2.8
424,0.5
425,4.8
489,0.5
521,0.0
522,0.0
554,0.5
582,0.5
589,0.1
617,0.5
426,2.0
427,0.0
428,0.0
429,3.7
430,5.3
431,3.3
432,1.3
433,0.0
434,2.3
435,3.0
436,3.7
437,1.7
438,1.7
439,1.3
440,0.0
441,0.0
442,0.0
443,0.3
444,0.0
445,0.3
446,0.0
452,0.0
461,0.7
470,2.0
475,2.3
523,0.0
547,0.0
548,0.0
549,0.0
583,7.7
611,0.0
