assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,34,100,100,1,205533,0,0,-1,1,39.3,332,50,0,4,2.0,3.5,3,Edward,1.5,6,1,19.2,368,53,13,False,43.2,403,56,327,,2019-08-08T15:30:15.638344Z,44,0,0,0,205533.jpg,2.1,0,0,Nketiah,1.8,False,None,a,1,3,109.0,248,53,15,222681,15908,198205,18521,0.3,3.4,Nketiah,0
0,10,591,25,None,7,80201,-1,1,-1,1,0.0,610,65,1,1,0.9,6.5,6,Bernd,3.0,39,0,84.1,143,2,14,False,843.2,3,2,2649,Knee injury - 25% chance of playing,2020-06-20T16:00:17.901135Z,49,0,0,1,80201.jpg,3.8,0,113,Leno,6.2,False,None,d,1,3,0.0,605,62,114,736437,2944,703011,125548,0.6,23.3,Leno,2
3,1,256,100,100,5,37605,-1,1,-3,3,582.9,26,21,0,3,0.5,0.5,0,Mesut,0.0,20,1,99.8,108,63,15,False,223.6,258,103,1439,,2019-12-20T10:30:11.550604Z,72,0,0,0,37605.jpg,2.9,0,0,Özil,1.7,False,None,a,1,3,190.0,175,94,53,245333,456,259379,33260,0.0,7.4,Özil,1
0,0,3,0,0,1,57249,0,0,-3,3,33.9,345,174,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,403,172,16,False,5.4,461,196,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Aug,2019-09-02T23:30:14.832021Z,67,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.7,False,None,n,1,3,46.0,329,159,4,23118,15,116963,113,0.0,0.6,Mkhitaryan,1
1,0,293,0,100,7,84450,0,0,-4,4,240.6,137,83,0,3,0.0,1.5,1,Granit,0.5,25,0,66.7,189,98,18,False,338.6,175,71,1911,Ankle injury - Expected back 04 Jul,2020-06-17T22:00:16.575871Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.8,False,None,i,1,3,85.0,273,141,48,69833,69,124068,6784,0.1,9.4,Xhaka,7
1,0,238,0,100,3,198849,0,0,-3,3,200.7,171,108,0,3,0.0,0.5,0,Lucas,0.0,20,1,67.3,186,96,19,False,271.8,220,87,1365,Ankle injury - Expected back 12 Jul,2020-06-19T01:30:19.551092Z,47,0,0,0,198849.jpg,1.8,0,0,Torreira,1.1,False,None,i,1,3,199.0,166,92,44,99534,79,176160,2457,0.0,9.4,Torreira,4
0,0,0,0,0,0,153256,0,0,-3,3,0.0,533,215,6,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,549,216,20,False,0.0,545,212,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Aug,2019-08-31T11:30:14.714406Z,42,0,0,0,153256.jpg,0.0,0,0,Elneny,0.5,False,None,n,1,3,0.0,505,206,0,127968,688,126606,801,0.0,0.0,Elneny,0
2,2,272,None,None,3,242166,0,0,-3,3,235.1,143,88,0,3,2.5,4.5,4,Matteo,2.0,31,0,71.6,177,93,21,False,333.6,178,73,1744,,None,42,0,0,0,242166.jpg,2.0,0,0,Guendouzi,7.8,False,None,a,1,3,146.0,216,112,48,1157308,40370,1028777,21456,0.5,11.4,Guendouzi,6
1,10,402,0,100,6,41270,0,0,-3,3,104.5,242,67,2,2,0.0,-2.5,-3,David,-1.5,35,2,84.6,141,36,106,False,568.6,52,18,2210,Suspended until 01 Jul,2020-06-17T22:00:16.727874Z,57,0,0,0,41270.jpg,2.9,2,0,Luiz Moreira Marinho,5.3,False,None,s,1,3,171.0,191,41,76,318706,172,605782,42298,-0.3,13.3,David Luiz,4
0,0,10,None,None,0,98980,0,0,-3,3,0.0,530,42,0,1,1.0,1.5,1,Emiliano,0.5,2,0,2.7,451,33,427,False,26.6,423,33,50,,None,42,0,0,0,98980.jpg,1.0,0,3,Martínez,0.9,False,None,a,1,3,0.0,501,34,1,60926,54076,20412,5519,0.1,0.2,Martínez,0
1,5,197,0,0,3,101184,0,0,-2,2,113.5,237,63,0,2,0.0,0.0,0,Calum,0.0,15,1,58.7,223,65,467,False,272.0,219,86,1102,Knee injury - Unknown return date,2019-12-29T14:30:27.183032Z,43,0,0,0,101184.jpg,3.0,0,0,Chambers,0.6,False,None,i,1,3,203.0,164,31,42,140564,11,172605,243,0.0,9.8,Chambers,5
2,3,197,100,100,3,182539,0,0,-3,3,286.8,109,68,1,3,2.5,4.5,4,Daniel,2.0,16,0,61.6,210,107,469,False,228.4,253,99,1073,,2019-11-06T17:30:16.584319Z,52,0,0,0,182539.jpg,2.4,0,0,Ceballos Fernández,3.1,False,None,a,1,3,101.0,256,132,39,1022194,632,1152825,3338,0.4,7.5,Ceballos,0
