assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,4,419,100,100,6,192895,None,,1,-1,-2,2,447.5,41,9,None,,1,2,3.0,3.0,1,Kieran,3.0,25,1,102.5,81,14,17,False,394.8,119,45,1970,,2021-01-26T10:30:25.655770Z,53,0,0,None,0,,192895.jpg,3.5,0,0,Tierney,6.0,False,None,a,1,3,181.0,166,33,77,947616,13158,1283967,18439,0.6,14.5,Tierney,4
2,3,183,100,100,1,195735,5,,0,0,-4,4,141.1,194,119,None,,0,3,2.0,2.0,4,Nicolas,2.0,16,5,88.3,99,55,18,False,250.6,213,87,1049,,2020-11-22T18:30:18.803078Z,76,0,0,3,0,,195735.jpg,2.9,1,0,Pépé,1.2,False,None,a,1,3,494.0,47,26,61,132837,2427,207144,13593,0.3,8.0,Pépé,1
0,0,0,0,0,0,198849,None,,0,0,-3,3,0.0,637,259,None,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,648,259,19,False,0.0,645,259,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.1,False,None,u,1,3,0.0,628,258,0,3459,0,17658,11,0.0,0.0,Torreira,0
0,0,2,100,100,0,200641,None,,0,0,-4,4,9.7,403,188,None,,0,3,0.0,0.0,0,Reiss,0.0,0,0,2.4,453,195,21,False,4.2,471,200,70,,2020-12-31T11:00:17.325196Z,51,0,0,None,0,,200641.jpg,1.0,0,0,Nelson,0.0,False,None,a,1,3,10.0,398,186,2,2285,28,6796,28,0.0,0.4,Nelson,0
1,4,84,None,None,0,205533,None,,0,0,-6,6,58.8,291,45,None,,0,4,0.0,0.0,0,Edward,0.0,6,1,24.9,338,47,22,False,74.4,366,44,317,,None,54,0,0,None,0,,205533.jpg,1.9,0,0,Nketiah,0.5,False,None,a,1,3,120.0,222,49,27,55061,301,156043,498,0.0,5.0,Nketiah,0
5,0,194,75,100,6,209289,None,,0,0,-3,3,283.5,92,64,None,,0,3,0.8,1.0,1,Emile,1.0,7,0,58.5,211,107,23,False,162.6,277,119,943,Hip injury - 75% chance of playing,2021-03-31T21:00:20.354720Z,42,0,0,None,0,,209289.jpg,3.3,0,0,Smith Rowe,2.2,False,None,d,1,3,138.0,199,101,46,543874,8765,385858,14453,0.2,11.0,Smith Rowe,0
4,8,347,75,75,6,223340,3,,0,0,-2,2,512.0,32,26,6,,2,3,1.0,1.0,2,Bukayo,1.3,27,5,181.6,20,14,24,False,428.6,94,32,2071,Hamstring injury - 75% chance of playing,2021-03-26T23:30:23.436031Z,53,1,0,None,0,,223340.jpg,3.8,0,0,Saka,8.3,False,None,d,1,3,876.0,15,7,96,1672239,6072,1576452,71122,0.2,18.1,Saka,1
0,0,0,0,0,0,242166,None,,0,0,-3,3,0.0,639,261,None,,0,3,0.0,0.0,0,Matteo,0.0,0,0,0.0,650,261,25,False,0.0,647,261,0,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.1,False,None,u,1,3,0.0,630,260,0,2725,0,13161,8,0.0,0.0,Guendouzi,0
0,0,21,100,100,2,444145,None,,0,0,-1,1,17.9,379,182,None,,0,3,0.3,0.3,1,Gabriel Teodoro,0.3,0,0,11.1,395,174,26,False,18.6,436,185,216,,2021-01-09T23:30:20.360437Z,49,0,0,None,0,,444145.jpg,1.7,0,0,Martinelli Silva,0.1,False,None,a,1,3,76.0,275,136,10,85972,183,85588,273,0.1,2.0,Martinelli,0
0,0,0,0,0,0,462424,None,,0,0,-5,5,0.0,519,208,None,,0,2,0.0,0.0,0,William,0.0,0,0,0.0,546,207,27,False,0.0,539,207,0,Joined Nice on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-04T23:00:20.315877Z,40,0,0,None,0,,462424.jpg,0.0,0,0,Saliba,0.5,False,None,u,1,3,0.0,492,195,0,30961,0,227327,122,0.0,0.0,Saliba,0
