h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.07651,0.727677,1.31535,0.727677,"{'att': 228, 'def': 30}","{'att': 430, 'def': 14}",9,3,3,1,2.4074,w,2020-09-21 19:15:00,1,0,0,3,0.587673
h,1.44633,2.86721,1.44633,0.583704,"{'att': 144, 'def': 27}","{'att': 301, 'def': 12}",5,3,2,5,0.4174,l,2020-09-27 15:30:00,0,0,1,0,0.8626259999999999
a,1.41533,2.56662,1.41533,2.56662,"{'att': 273, 'def': 24}","{'att': 188, 'def': 24}",10,5,1,1,0.6604,d,2020-10-03 16:30:00,0,1,0,1,-1.15129
