h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.65911,0.861445,1.65911,0.861445,"{'att': 266, 'def': 11}","{'att': 173, 'def': 27}",10,5,2,0,2.0522,w,2020-09-12 19:00:00,1,0,0,3,0.7976650000000001
h,0.520678,1.8766,0.520678,1.11546,"{'att': 251, 'def': 21}","{'att': 206, 'def': 19}",3,3,0,3,0.3134,l,2020-09-20 13:00:00,0,0,1,0,-0.5947819999999999
