h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.16287,0.126327,2.16287,0.126327,"{'att': 307, 'def': 14}","{'att': 425, 'def': 13}",11,0,3,0,2.8937,w,2020-09-12 11:30:00,1,0,0,3,2.036543
h,1.32902,2.06377,1.32902,2.06377,"{'att': 217, 'def': 17}","{'att': 420, 'def': 23}",16,4,2,1,0.8155,w,2020-09-19 19:00:00,1,0,0,3,-0.7347499999999998
