h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.95581,0.352997,1.43347,0.352997,"{'att': 179, 'def': 17}","{'att': 363, 'def': 19}",3,6,3,0,2.9074,w,2020-09-13 13:00:00,1,0,0,3,1.080473
h,0.987365,1.52404,0.987365,1.52404,"{'att': 127, 'def': 17}","{'att': 338, 'def': 21}",14,6,4,2,0.9512,w,2020-09-20 18:00:00,1,0,0,3,-0.536675
a,2.86721,1.44633,0.583704,1.44633,"{'att': 301, 'def': 12}","{'att': 144, 'def': 27}",3,5,5,2,2.4334,w,2020-09-27 15:30:00,1,0,0,3,-0.8626259999999999
h,0.456022,2.03227,0.456022,2.03227,"{'att': 161, 'def': 22}","{'att': 376, 'def': 11}",2,3,0,3,0.3094,l,2020-10-04 11:00:00,0,0,1,0,-1.576248
