id,xP
1,0.0
2,0.0
3,1.0
4,3.7
5,1.2
6,5.8
7,1.2
8,5.3
9,3.0
10,3.3
11,2.5
13,1.0
14,1.0
15,2.7
16,5.0
17,6.3
18,2.8
19,0.0
20,1.5
21,0.8
22,2.5
23,4.0
24,6.5
25,0.0
26,2.2
27,1.0
478,1.4
494,0.0
501,2.2
526,2.5
527,1.0
547,1.0
567,0.0
12,5.5
28,-0.5
29,1.3
30,0.0
31,-0.5
32,-0.5
33,-0.5
34,0.0
35,0.0
36,-0.5
37,4.3
38,2.1
39,5.1
40,0.0
41,1.5
42,3.7
43,0.0
44,0.1
45,6.9
46,0.3
47,-0.5
48,0.0
49,0.0
50,0.1
51,0.0
52,1.5
106,-0.4
496,3.5
514,3.1
540,5.9
554,0.1
53,0.0
54,0.6
57,1.0
58,0.0
59,0.5
60,0.0
61,0.2
62,4.2
63,0.0
64,0.0
65,2.8
66,2.0
67,1.0
68,3.2
69,3.3
70,0.3
71,0.8
72,0.0
73,0.0
74,1.8
75,0.3
76,1.8
77,0.0
78,1.3
79,0.8
80,0.5
503,0.0
528,0.0
550,0.0
574,0.3
588,1.7
597,2.5
627,2.0
628,1.6
55,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
519,0.0
520,0.0
535,0.0
536,0.0
551,0.0
583,0.0
591,0.0
592,0.0
612,0.0
613,0.0
101,-0.5
102,1.3
103,2.3
104,-0.5
105,0.3
107,0.3
109,-0.1
110,1.3
111,0.7
112,-0.5
113,1.1
114,-0.1
116,-0.1
117,1.7
118,3.5
119,2.1
120,2.1
121,-0.5
122,2.1
123,0.0
124,-0.3
232,2.1
490,2.7
500,1.3
548,2.1
593,-0.5
605,-0.5
108,0.3
125,0.0
126,0.0
127,0.0
128,3.8
129,1.7
130,3.0
131,0.0
132,2.2
133,2.2
134,2.2
135,0.0
136,0.0
137,2.3
138,1.7
139,0.7
140,0.8
141,2.8
142,3.7
143,0.0
144,1.2
145,0.0
146,1.3
147,0.0
486,0.5
489,2.8
522,0.0
534,0.0
577,0.3
578,0.0
586,0.0
149,0.0
150,6.0
151,0.0
152,1.0
153,0.5
154,0.8
155,0.0
156,4.0
157,2.5
158,0.5
159,2.8
160,0.5
161,0.0
162,6.5
163,1.5
164,3.0
165,6.2
166,3.0
167,0.0
168,0.5
169,0.0
170,0.0
502,0.0
508,0.0
512,3.2
559,0.0
566,3.2
573,1.5
596,0.0
115,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
373,0.0
484,0.0
493,0.0
516,0.0
517,0.0
525,0.0
